Term,With subdivisions ǂx etc.,Tag,Left match bib field,Term in MARC
"Federated Indians of Graton Rancheria, California",,[151],651,"Federated Indians of Graton Rancheria, California"
Feminism—Indian influences,y,[150],650,Feminism ǂx Indian influences
First Nation of Nacho Nyak Dun,,[151],651,First Nation of Nacho Nyak Dun
Fisher River (First Nation),,[151],651,Fisher River (First Nation)
Fishing Lake First Nation,,[151],651,Fishing Lake First Nation
Five Civilized Tribes,,[150],650,Five Civilized Tribes
Flandreau Santee Sioux Tribe of South Dakota,,[151],651,Flandreau Santee Sioux Tribe of South Dakota
Flathead Indian Reservation (Mont.),,[151],651,Flathead Indian Reservation (Mont.)
Florida Tribe of Eastern Creek Indians,,[151],651,Florida Tribe of Eastern Creek Indians
Flying dance,,[150],650,Flying dance
Flying Dust First Nation,,[151],651,Flying Dust First Nation
Flying Post (First Nation),,[151],651,Flying Post (First Nation)
"Folk literature, Indian",,[150],650,"Folk literature, Indian"
"Folk songs, Eskimo",,[150],650,"Folk songs, Eskimo"
"Folk songs, Indian",,[150],650,"Folk songs, Indian"
"Folk songs, Inuit",,[150],650,"Folk songs, Inuit"
"Folk songs, Mayan",,[150],650,"Folk songs, Mayan"
Folsom culture,,[150],650,Folsom culture
Folsom points,,[150],650,Folsom points
Fond du Lac (First Nation),,[151],651,Fond du Lac (First Nation)
Fond du Lac Band of Chippewa Indians,,[151],651,Fond du Lac Band of Chippewa Indians
Fond du Lac Indian Reservation (Minn.),,[151],651,Fond du Lac Indian Reservation (Minn.)
"Forbes Expedition against Fort Duquesne, Pa., 1758",,[150],650,"Forbes Expedition against Fort Duquesne, Pa., 1758"
"Forest County Potawatomi Community, Wisconsin",,[151],651,"Forest County Potawatomi Community, Wisconsin"
Fort Alexander (First Nation),,[151],651,Fort Alexander (First Nation)
Fort Alexander Indian Reserve (Man.),,[151],651,Fort Alexander Indian Reserve (Man.)
Fort Apache Indian Reservation (Ariz.),,[151],651,Fort Apache Indian Reservation (Ariz.)
"Fort Beauséjour, Siege of, N.B., 1755",,[150],650,"Fort Beauséjour, Siege of, N.B., 1755"
Fort Belknap Indian Community of the Fort Belknap Reservation of Montana,,[151],651,Fort Belknap Indian Community of the Fort Belknap Reservation of Montana
Fort Belknap Indian Reservation (Mont.),,[151],651,Fort Belknap Indian Reservation (Mont.)
Fort Berthold Indian Reservation (N.D.),,[151],651,Fort Berthold Indian Reservation (N.D.)
Fort Bidwell Indian Community of the Fort Bidwell Reservation of California,,[151],651,Fort Bidwell Indian Community of the Fort Bidwell Reservation of California
Fort Bidwell Reservation (Calif.),,[151],651,Fort Bidwell Reservation (Calif.)
Fort Durham Site (Alaska),,[151],651,Fort Durham Site (Alaska)
Fort Folly (First Nation),,[151],651,Fort Folly (First Nation)
"Fort Frontenac (Ont. : Fort)—Capture, 1758",y,[151],651,"Fort Frontenac (Ont. : Fort) ǂx Capture, 1758"
Fort Good Hope (First Nation),,[151],651,Fort Good Hope (First Nation)
Fort Hall Indian Reservation (Idaho),,[151],651,Fort Hall Indian Reservation (Idaho)
"Fort Harrison, Battle of, Ind., 1812",,[150],650,"Fort Harrison, Battle of, Ind., 1812"
Fort Hope Indian Reserve (Ont.),,[151],651,Fort Hope Indian Reserve (Ont.)
"Fort Independence Indian Community of Paiute Indians of the Fort Independence Reservation, California",,[151],651,"Fort Independence Indian Community of Paiute Indians of the Fort Independence Reservation, California"
Fort McDermitt Indian Reservation (Nev. and Or.),,[151],651,Fort McDermitt Indian Reservation (Nev. and Or.)
"Fort McDermitt Paiute and Shoshone Tribes of the Fort McDermitt Indian Reservation, Nevada and Oregon",,[151],651,"Fort McDermitt Paiute and Shoshone Tribes of the Fort McDermitt Indian Reservation, Nevada and Oregon"
Fort McDowell Indian Reservation (Ariz.),,[151],651,Fort McDowell Indian Reservation (Ariz.)
"Fort McDowell Mohave-Apache Indian Community of the Fort McDowell Indian Reservation, Arizona",,[151],651,"Fort McDowell Mohave-Apache Indian Community of the Fort McDowell Indian Reservation, Arizona"
"Fort McDowell Yavapai Nation, Arizona",,[151],651,"Fort McDowell Yavapai Nation, Arizona"
Fort McKay First Nation,,[151],651,Fort McKay First Nation
Fort McKay Indian Reserve No. 174 (Alta.),,[151],651,Fort McKay Indian Reserve No. 174 (Alta.)
Fort McMurray #468 First Nation,,[151],651,Fort McMurray #468 First Nation
Fort Mojave Indian Reservation,,[151],651,Fort Mojave Indian Reservation
"Fort Mojave Indian Tribe of Arizona, California & Nevada",,[151],651,"Fort Mojave Indian Tribe of Arizona, California & Nevada"
"Fort Necessity, Battle of, Pa., 1754",,[150],650,"Fort Necessity, Battle of, Pa., 1754"
Fort Nelson First Nation,,[151],651,Fort Nelson First Nation
"Fort Oswego (Oswego, N.Y.)—Capture, 1756",y,[151],651,"Fort Oswego (Oswego, N.Y.) ǂx Capture, 1756"
Fort Peck Indian Reservation (Mont.),,[151],651,Fort Peck Indian Reservation (Mont.)
Fort Severn (First Nation),,[151],651,Fort Severn (First Nation)
Fort Sill Apache Tribe of Oklahoma,,[151],651,Fort Sill Apache Tribe of Oklahoma
Fort Totten Indian Reservation (N.D.),,[151],651,Fort Totten Indian Reservation (N.D.)
Fort William (First Nation),,[151],651,Fort William (First Nation)
"Fort William Henry (N.Y.)—Capture, 1757",y,[151],651,"Fort William Henry (N.Y.) ǂx Capture, 1757"
Fort Yuma Reservation (Ariz. and Calif.),,[151],651,Fort Yuma Reservation (Ariz. and Calif.)
Four Confederated Bands of Pawnees,,[151],651,Four Confederated Bands of Pawnees
Fox art,,[150],650,Fox art
Fox dance,,[150],650,Fox dance
Fox Indians,,[150],650,Fox Indians
Fox Lake (First Nation),,[151],651,Fox Lake (First Nation)
Fox language,,[150],650,Fox language
Fox Nation,,[151],651,Fox Nation
Fox women,,[150],650,Fox women
France—Civilization—Indian influences,y,[151],651,France ǂx Civilization ǂx Indian influences
Fraser Lake Indian Band,,[151],651,Fraser Lake Indian Band
Fremont culture,,[150],650,Fremont culture
French language—Foreign words and phrases—Indian,y,[150],650,French language ǂx Foreign words and phrases ǂx Indian
French-Canadian fiction—Indian authors,y,[150],650,French-Canadian fiction ǂx Indian authors
French-Canadian poetry—Indian authors,y,[150],650,French-Canadian poetry ǂx Indian authors
Freyer's purple emperor butterfly,,[150],650,Freyer's purple emperor butterfly
Frog Lake (First Nation),,[151],651,Frog Lake (First Nation)
Fuegians,,[150],650,Fuegians
Fulnio Indians,,[150],650,Fulnio Indians
Fulnio language,,[150],650,Fulnio language
Gabrielino Indians,,[150],650,Gabrielino Indians
Gabrielino language,,[150],650,Gabrielino language
Galena Village,,[151],651,Galena Village
Galice Indians,,[150],650,Galice Indians
Gamblers (First Nation),,[151],651,Gamblers (First Nation)
Gambling on Indian reservations,,[150],650,Gambling on Indian reservations
Gameti First Nation,,[151],651,Gameti First Nation
Garden Hill First Nations,,[151],651,Garden Hill First Nations
Garden River First Nation,,[151],651,Garden River First Nation
Garifuna (Caribbean people),,[150],650,Garifuna (Caribbean people)
Gavião do Jiparaná Indians,,[150],650,Gavião do Jiparaná Indians
Gaviões Indians,,[150],650,Gaviões Indians
Gay Head Indians,,[150],650,Gay Head Indians
Gê Indians,,[150],650,Gê Indians
Gê languages,,[150],650,Gê languages
Gê mythology,,[150],650,Gê mythology
Genízaros,,[150],650,Genízaros
George Gordon First Nation,,[151],651,George Gordon First Nation
German language—Foreign words and phrases—Indian,y,[150],650,German language ǂx Foreign words and phrases ǂx Indian
Ghadr movement,,[150],650,Ghadr movement
Ghost dance,,[150],650,Ghost dance
Gifted Indian children,,[150],650,Gifted Indian children
Gila Bend Indian Reservation (Ariz.),,[151],651,Gila Bend Indian Reservation (Ariz.)
"Gila River Indian Community of the Gila River Indian Reservation, Arizona",,[151],651,"Gila River Indian Community of the Gila River Indian Reservation, Arizona"
"Gila River Indian Community, Gila River Reservation, Arizona",,[151],651,"Gila River Indian Community, Gila River Reservation, Arizona"
Gila River Indian Reservation (Ariz.),,[151],651,Gila River Indian Reservation (Ariz.)
Gila River Pima-Maricopa Indian Community of the Gila River Indian Reservation of Arizona,,[151],651,Gila River Pima-Maricopa Indian Community of the Gila River Indian Reservation of Arizona
Ginoogaming First Nation,,[151],651,Ginoogaming First Nation
Gitanmaax (First Nation),,[151],651,Gitanmaax (First Nation)
Gitanyow (First Nation),,[151],651,Gitanyow (First Nation)
Gitga'at First Nation,,[151],651,Gitga'at First Nation
Gitsegukla (First Nation),,[151],651,Gitsegukla (First Nation)
Gitwangak (First Nation),,[151],651,Gitwangak (First Nation)
Gitxaala Nation,,[151],651,Gitxaala Nation
Gitxsan cooking,,[150],650,Gitxsan cooking
Gitxsan Indians,,[150],650,Gitxsan Indians
Gitxsan language,,[150],650,Gitxsan language
Gitxsan mythology,,[150],650,Gitxsan mythology
Gjoa Haven (Inuit community),,[151],651,Gjoa Haven (Inuit community)
Glen Vowell (First Nation),,[151],651,Glen Vowell (First Nation)
Glooscap First Nation,,[151],651,Glooscap First Nation
Gluskap (Legendary character),,[150],650,Gluskap (Legendary character)
"Gnadenhutten Massacre, Gnadenhutten, Ohio, 1782",,[150],650,"Gnadenhutten Massacre, Gnadenhutten, Ohio, 1782"
Goajiro Indians,,[150],650,Goajiro Indians
Goajiro language,,[150],650,Goajiro language
Goajiro mythology,,[150],650,Goajiro mythology
Goajiro pottery,,[150],650,Goajiro pottery
Goajiro textile fabrics,,[150],650,Goajiro textile fabrics
Goajiro women,,[150],650,Goajiro women
God's Lake First Nation,,[151],651,God's Lake First Nation
God's River First Nation,,[151],651,God's River First Nation
Golden Hill Reservation (Conn.),,[151],651,Golden Hill Reservation (Conn.)
Golden Lake First Nation,,[151],651,Golden Lake First Nation
Goshen culture,,[150],650,Goshen culture
Goshute Reservation (Nev. and Utah),,[151],651,Goshute Reservation (Nev. and Utah)
Gosiute Indians,,[150],650,Gosiute Indians
Government aid to Indians,,[150],650,Government aid to Indians
Grand Portage Band of Chippewa Indians,,[151],651,Grand Portage Band of Chippewa Indians
Grand Portage Reservation (Minn.),,[151],651,Grand Portage Reservation (Minn.)
Grand Rapids First Nation,,[151],651,Grand Rapids First Nation
Grand Ronde Indian Reservation (Or.),,[151],651,Grand Ronde Indian Reservation (Or.)
"Grand Traverse Band of Ottawa and Chippewa Indians, Michigan",,[151],651,"Grand Traverse Band of Ottawa and Chippewa Indians, Michigan"
Grand-Métis (Québec),,[151],651,Grand-Métis (Québec)
"Grande Ronde, Battle of the, Or., 1856",,[150],650,"Grande Ronde, Battle of the, Or., 1856"
Grass dance,,[150],650,Grass dance
Grassy Narrows First Nation,,[151],651,Grassy Narrows First Nation
Graton Rancheria (Calif.),,[151],651,Graton Rancheria (Calif.)
"Grattan Massacre, Wyo., 1854",,[150],650,"Grattan Massacre, Wyo., 1854"
Gray whale hunting,,[150],650,Gray whale hunting
Great Blackfeet Reservation (Mont.),,[151],651,Great Blackfeet Reservation (Mont.)
Great Sioux Reservation (N.D. and S.D.),,[151],651,Great Sioux Reservation (N.D. and S.D.)
Greenville Rancheria,,[151],651,Greenville Rancheria
Greenville Rancheria of Maidu Indians of California,,[151],651,Greenville Rancheria of Maidu Indians of California
Grindstone Indian Rancheria of Wintun-Wailaki Indians of California,,[151],651,Grindstone Indian Rancheria of Wintun-Wailaki Indians of California
Grise Fiord (Inuit community),,[151],651,Grise Fiord (Inuit community)
Gros Ventre Indians (Montana),,[150],650,Gros Ventre Indians (Montana)
Gros Ventre language (Algonquian),,[150],650,Gros Ventre language (Algonquian)
Guachichile Indians,,[150],650,Guachichile Indians
Guaharibo Indians,,[150],650,Guaharibo Indians
Guahiban languages,,[150],650,Guahiban languages
Guahibo Indians,,[150],650,Guahibo Indians
Guahibo language,,[150],650,Guahibo language
Guaiqueri Indians,,[150],650,Guaiqueri Indians
Guajá Indians,,[150],650,Guajá Indians
Guale Indians,,[150],650,Guale Indians
Guale pottery,,[150],650,Guale pottery
Guambiano Indians,,[150],650,Guambiano Indians
Guambiano language,,[150],650,Guambiano language
Guambiano mythology,,[150],650,Guambiano mythology
Guambiano textile fabrics,,[150],650,Guambiano textile fabrics
Guana Indians,,[150],650,Guana Indians
Guana language,,[150],650,Guana language
Guanano Indians,,[150],650,Guanano Indians
Guanano language,,[150],650,Guanano language
Guane Indians,,[150],650,Guane Indians
Guane pottery,,[150],650,Guane pottery
Guane textile fabrics,,[150],650,Guane textile fabrics
Guangala culture,,[150],650,Guangala culture
Guarani art,,[150],650,Guarani art
Guarani cooking,,[150],650,Guarani cooking
Guarani cosmology,,[150],650,Guarani cosmology
Guarani dance,,[150],650,Guarani dance
Guarani Indians,,[150],650,Guarani Indians
Guarani Indians in art,,[150],650,Guarani Indians in art
Guarani Indians in literature,,[150],650,Guarani Indians in literature
Guarani language,,[150],650,Guarani language
Guarani languages,,[150],650,Guarani languages
Guarani mythology,,[150],650,Guarani mythology
Guarani pottery,,[150],650,Guarani pottery
Guarani textile fabrics,,[150],650,Guarani textile fabrics
Guarayo Indians,,[150],650,Guarayo Indians
Guarayo language,,[150],650,Guarayo language
Guarayo mythology,,[150],650,Guarayo mythology
Guarijío Indians,,[150],650,Guarijío Indians
Guarijío language,,[150],650,Guarijío language
Guarino Indians,,[150],650,Guarino Indians
Guatemalan poetry—Indian authors,y,[150],650,Guatemalan poetry ǂx Indian authors
Guato Indians,,[150],650,Guato Indians
Guatuso Indians,,[150],650,Guatuso Indians
Guatuso language,,[150],650,Guatuso language
Guatuso mythology,,[150],650,Guatuso mythology
Guayabero Indians,,[150],650,Guayabero Indians
Guayabero language,,[150],650,Guayabero language
Guayacundo Indians,,[150],650,Guayacundo Indians
Guayaki art,,[150],650,Guayaki art
Guayaki Indians,,[150],650,Guayaki Indians
Guayaki language,,[150],650,Guayaki language
Guayana Indians,,[150],650,Guayana Indians
Guaycuruan Indians,,[150],650,Guaycuruan Indians
Guaycuruan languages,,[150],650,Guaycuruan languages
Guaymi Indians,,[150],650,Guaymi Indians
Guaymi language,,[150],650,Guaymi language
Güenoa Indians,,[150],650,Güenoa Indians
Güenoa language,,[150],650,Güenoa language
Guetar Indians,,[150],650,Guetar Indians
Guetar language,,[150],650,Guetar language
Gulkana Village,,[151],651,Gulkana Village
Gull Bay (First Nation),,[151],651,Gull Bay (First Nation)
"Gustafsen Lake Standoff, B.C., 1995",,[150],650,"Gustafsen Lake Standoff, B.C., 1995"
Gwa'Sala-Nakwaxda'xw (First Nation),,[151],651,Gwa'Sala-Nakwaxda'xw (First Nation)
Gwawaenuk Tribe,,[151],651,Gwawaenuk Tribe
Gwich'in beadwork,,[150],650,Gwich'in beadwork
Gwich'in dance,,[150],650,Gwich'in dance
Gwich'in Indians,,[150],650,Gwich'in Indians
Gwich'in language,,[150],650,Gwich'in language
Gwich'in Settlement Area (N.W.T.),,[151],651,Gwich'in Settlement Area (N.W.T.)
Gwich'in Settlement Region (N.W.T. and Yukon),,[151],651,Gwich'in Settlement Region (N.W.T. and Yukon)
Gwichya Gwich'in (First Nation),,[151],651,Gwichya Gwich'in (First Nation)
"Habematolel Pomo of Upper Lake, California",,[151],651,"Habematolel Pomo of Upper Lake, California"
Hackensack Indians,,[150],650,Hackensack Indians
Hagen Site (Mont.),,[151],651,Hagen Site (Mont.)
Hagwilget Village,,[151],651,Hagwilget Village
Haida architecture,,[150],650,Haida architecture
Haida art,,[150],650,Haida art
Haida baskets,,[150],650,Haida baskets
Haida Indians,,[150],650,Haida Indians
Haida language,,[150],650,Haida language
Haida mythology,,[150],650,Haida mythology
Haida sculpture,,[150],650,Haida sculpture
Haida women,,[150],650,Haida women
Haisla Indians,,[150],650,Haisla Indians
Haisla language,,[150],650,Haisla language
Haisla Nation,,[151],651,Haisla Nation
Hako (Pawnee rite),,[150],650,Hako (Pawnee rite)
Halalt (First Nation),,[151],651,Halalt (First Nation)
Halchidhoma Indians,,[150],650,Halchidhoma Indians
Halfway River First Nation,,[151],651,Halfway River First Nation
Haliwa Saponi Indian Tribe,,[151],651,Haliwa Saponi Indian Tribe
Halkomelem language,,[150],650,Halkomelem language
Hall Beach (Inuit community),,[151],651,Hall Beach (Inuit community)
Han Indians,,[150],650,Han Indians
"Hannahville Indian Community, Michigan",,[151],651,"Hannahville Indian Community, Michigan"
"Harmar's Expedition, 1790",,[150],650,"Harmar's Expedition, 1790"
Harvard Chiapas Project,,[110],610,Harvard Chiapas Project
Hasinai Indians,,[150],650,Hasinai Indians
Hatchet Lake (First Nation),,[151],651,Hatchet Lake (First Nation)
Havasupai baskets,,[150],650,Havasupai baskets
Havasupai Indians,,[150],650,Havasupai Indians
Havasupai language,,[150],650,Havasupai language
